society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,extra_rooms,floorNum,agePossession,built_up_area,furnishing_type,luxury_score
shapoorji pallonji joyville gurugram,0.97,sector 102,12985.274431057564,2,2,2,0,12,New Property,747.0,0,57
tulip monsella,8.25,sector 53,31003.38218714769,3,4,3,1,8,Under Construction,2661.0,1,35
shyamkunj ashok vihar pahse 2,0.3,sector 3 phase 2,4000.0,2,2,1,0,1,Relatively New,750.0,0,21
godrej nature plus,1.65,sector 33,12900.703674745895,2,2,3,0,1,Under Construction,1279.0,0,38
m3m heights,1.99,sector 65,17456.140350877195,2,2,2,0,26,Under Construction,1140.0,0,48
m3m the marina,1.0,sector 68,11248.59392575928,2,2,3,0,21,Relatively New,889.0,0,31
emaar digihomes,4.25,sector 62,23903.26209223847,3,3,3,1,8,Under Construction,1778.0,0,16
umang monsoon breeze,1.25,sector 78,5434.782608695652,4,4,3,3,2,Relatively New,2300.0,0,57
mapsko paradise,0.95,sector 83,6380.120886501008,3,3,3,0,1,Moderately Old,1489.0,0,0
cancon enclave,1.05,sector 4,7000.0,3,2,2,0,2,New Property,1500.0,2,0
tata primanti,4.1,sector 72,15595.283377710157,4,5,3+,2,39,New Property,2629.0,0,103
mrg world ultimus,0.5,sector 90,6281.407035175879,2,2,2,0,1,Under Construction,796.0,0,21
sonata group housing gh 24,1.65,manesar,5303.760848601736,4,3,3,1,8,New Property,3111.0,0,20
bptp pedestal,1.6,sector 70a,9142.857142857143,3,3,3,2,2,New Property,1750.0,0,77
smart world orchard,2.1,sector 61,13689.700130378096,3,2,3,0,3,Under Construction,1534.0,0,146
hsiidc sidco aravali,0.9,manesar,4030.452306314375,4,4,3,0,7,Moderately Old,2233.0,0,0
godrej aria,1.1,sector 79,8994.276369582993,2,2,3+,0,4,New Property,1223.0,2,49
assotech blith,0.92,sector 99,7449.392712550607,2,2,3+,0,22,Under Construction,1235.0,0,56
sare crescent parc,0.7,sector 92,5555.555555555556,3,3,2,0,14,Under Construction,1260.0,0,38
unitech vistas,0.99,sector 70,6991.525423728814,3,4,2,0,11,Under Construction,1416.0,0,0
supertech araville,0.71,sector 79,5546.875,2,2,3+,1,17,New Property,1280.0,0,53
ansal housing highland park,0.88,sector 103,7142.857142857143,2,2,3,0,3,New Property,1232.0,0,52
tulip white,0.91,sector 69,6177.868295994569,3,2,2,0,12,Moderately Old,1473.0,0,43
