price,sector,built_up_area,bedRoom,bathroom,balcony,extra_rooms,agePossession,furnishing_type,luxury_category,floor_category
1.65,sector 91,2139.0,4,4,3+,1,Moderately Old,0,Medium,High Floor
2.0,sector 91,2468.0,4,4,3+,3,Moderately Old,0,Medium,High Floor
1.75,near sector 1 market,3111.0,4,4,3,1,New Property,0,Low,Mid Floor
0.9,sector 68,1311.0,2,2,2,0,New Property,0,Low,Low Floor
1.25,sector 70,1688.0,3,3,3,0,Under Construction,0,Medium,High Floor
1.0,sector 37c,1708.0,3,3,3+,0,Relatively New,2,Low,Mid Floor
1.08,dwarka expressway,1758.0,3,3,0,0,Under Construction,0,Low,Mid Floor
2.15,sector 85,2179.0,3,5,3,0,New Property,0,Medium,Low Floor
1.0,sector 67,826.0,1,1,1,0,Relatively New,0,Low,High Floor
1.65,sector 70a,1142.0,2,2,3,0,New Property,0,Medium,High Floor
1.79,sector 90,2461.0,4,3,3+,0,Moderately Old,0,Medium,Mid Floor
1.8,sector 85,1370.0,3,3,3,0,Under Construction,0,Low,High Floor
1.45,gwal pahari,1430.0,3,3,3,0,Under Construction,0,Low,Mid Floor
0.22,block a sector 21,523.0,1,1,1,0,Relatively New,0,Low,Low Floor
0.36,sector 7,700.0,2,2,1,0,Relatively New,0,Low,Low Floor
0.25,sohna road,587.0,2,2,1,0,Relatively New,0,Low,Low Floor
1.15,sector 79,1200.0,3,3,3+,1,Under Construction,0,Medium,Low Floor
1.65,sohna road road,1051.0,3,3,0,0,New Property,0,Medium,Low Floor
2.9,sector 113,2553.0,4,4,3+,2,Under Construction,0,Low,High Floor
0.6,sector 92,1195.0,2,2,3,1,Under Construction,0,Low,High Floor
2.4,sector 47,2667.0,3,3,0,0,Moderately Old,2,Low,Low Floor
1.25,sector 70a,1402.0,2,2,3,0,Relatively New,0,Low,High Floor
2.15,sector 65,1433.0,2,2,3+,0,Relatively New,0,Low,High Floor
0.29,sohna road,743.0,2,2,1,0,Relatively New,0,Low,Mid Floor
0.38,sohna road,750.0,2,2,2,0,Relatively New,0,Low,Mid Floor
0.39,sector 4,950.0,2,2,1,0,Relatively New,0,Low,Low Floor
1.6,sector 99,2400.0,3,4,0,0,New Property,0,Medium,High Floor
1.7,sector 68,1809.0,4,4,3,0,New Property,0,Low,Low Floor
3.25,sector 54,2558.0,3,3,3+,1,Old Property,2,Medium,Low Floor
0.6,sector 111,789.0,2,2,3,0,New Property,0,Medium,Mid Floor
0.27,sector 95,758.0,2,2,0,0,New Property,0,Low,Low Floor
0.95,sector 28,1188.0,2,1,1,0,Old Property,0,Medium,Low Floor
2.65,sector 65,1297.0,2,2,3,1,New Property,0,Low,Mid Floor
0.36,sector 79,546.0,2,2,1,0,New Property,0,Medium,Mid Floor
0.55,sector 37d,543.0,2,2,3,0,New Property,0,Medium,Mid Floor
1.32,sector 89,867.0,3,3,3,0,Under Construction,0,Low,Low Floor
0.59,sector 99a,1133.0,2,2,3,1,Under Construction,0,Medium,Low Floor
0.45,sector 4,944.0,2,2,1,0,Relatively New,2,Low,Low Floor
0.9,sector 37d,1185.0,3,3,2,0,Relatively New,2,Low,High Floor
1.4,sector 79,1556.0,2,2,2,3,Relatively New,1,Medium,Mid Floor
0.95,sohna road,1129.0,2,2,3+,1,New Property,2,Medium,Mid Floor
3.0,sector 65,1654.0,3,3,3,0,Under Construction,0,Medium,High Floor
3.67,sector 65,1846.0,3,3,2,1,Under Construction,0,Low,High Floor
